"Year","Country Name","Country Code","Adolescent fertility rate (births per 1,000 women ages 15-19)","Fertility rate, total (births per woman)","GDP (current US$)","GDP growth (annual %)","GNI per capita, Atlas method (current US$)","GNI, Atlas method (current US$)","Immunization, measles (% of children ages 12-23 months)","Inflation, GDP deflator (annual %)","Internet users (per 100 people)","Life expectancy at birth, total (years)","Merchandise trade (% of GDP)","Mobile cellular subscriptions (per 100 people)","Mortality rate, under-5 (per 1,000)","Population growth (annual %)","Population, total","Surface area (sq. km)","Time required to start a business (days)"
2007,"Algeria","DZA",7.339,2.383,1.34304104724814E11,2.99999999999999,3610.0,1.22195605953918E11,92.0,6.79210012490942,10.338916903211,72.250243902439,65.3696774047883,81.4196204875636,37.0,1.49261743944306,3.38526756019577E7,2381740.0,24.0
2007,"Angola","AGO",123.683,5.785,5.92634213751206E10,20.279579920195,2590.0,4.55085930589368E10,88.0,4.12508375159972,2.83686569634087,46.8014634146342,97.9646443841209,28.2634764649805,158.0,2.68736923022808,1.7554585E7,1246700.0,119.0
2007,"Argentina","ARG",56.9,2.254,2.62450806576364E11,8.65333684642083,6040.0,2.3873326402811E11,99.0,14.1649276632303,25.9380936032738,75.2185365853659,38.2874037656128,102.27399274579,16.3,0.938917246582669,3.95034660477389E7,2780400.0,31.0
2007,"Australia","AUS",14.896,1.931,8.2097354165031E11,3.30001215092035,35760.0,7.51518844186445E11,94.0,4.63226158556375,53.2952652867,81.2926829268293,37.3573992326826,101.165833928147,5.7,1.52042226074448,2.1015E7,7741220.0,2.0
2007,"Austria","AUT",12.779,1.38,3.73192406657177E11,3.35482478713357,41970.0,3.48968487465682E11,79.0,2.29604922005144,67.3651515430296,80.0317073170732,87.6359346937184,119.200132476661,4.4,0.397678512654407,8315427.0,83870.0,28.0
2007,"Azerbaijan","AZE",33.849,2.0,3.3049963583394E10,25.049,2710.0,2.32411034338042E10,97.0,20.9840366340144,10.7979241789015,67.380243902439,82.6455857691901,52.6611475981611,39.3,1.13361074769076,8581279.0,86600.0,36.0
2007,"Bangladesh","BGD",71.608,2.358,6.84154213727194E10,6.42784252079143,480.0,7.49327855480065E10,88.0,6.78645029797174,0.316952163652392,65.9551219512195,45.3833351852757,21.7872917294655,60.5,1.46190786923124,1.57752512E8,144000.0,74.0
2007,"Belarus","BLR",21.262,1.287,4.5275711995825E10,8.60000078498793,4240.0,4.11799796062348E10,99.0,12.8727082724944,28.9605236033807,70.2034146341464,116.990637286686,71.7377860235003,13.4,-0.313875067944899,9702000.0,207600.0,48.0
2007,"Belgium","BEL",7.722,1.81,4.52753750136866E11,2.79911428026702,41120.0,4.36888983805468E11,92.0,1.63306902809779,65.9384322915196,80.2207317073171,186.824310074583,101.058010295792,4.6,0.734330830765897,1.06257E7,30530.0,4.0
2007,"Belize","BLZ",78.717,2.935,1.27675165594473E9,1.21874454967997,3760.0,1.14414991344179E9,96.0,3.97939706576018,10.5266220596022,76.1980487804878,74.4840232297427,38.9202113237429,25.4,2.12483032083483,303991.155176035,22970.0,44.0
2007,"Benin","BEN",111.787,5.485,5.42761550451001E9,4.600056363764,610.0,5.12026510666288E9,61.0,2.86799979962365,1.78717551445634,61.1721951219512,45.6001350490547,22.6891939743114,123.4,3.2073271309016,8393132.0,112620.0,31.0
2007,"Bhutan","BTN",38.281,2.677,1.05337932350595E9,14.0480316256798,1480.0,9.99109056802194E8,95.0,4.57219589808911,5.91680965623336,65.860243902439,113.942035904526,22.1050529554464,84.0,1.80243147508508,676040.0,47000.0,48.0
2007,"Bolivia","BOL",78.2,3.5,1.31200996588109E10,-2.73875693324044E-6,1220.0,1.16248673353398E10,81.0,12.2742894282174,10.5069197042762,65.5129268292683,60.329267351902,34.1938245547936,57.4,1.73485308045373,9517537.28157844,1098580.0,50.0
2007,"Bosnia and Herzegovina","BIH",15.928,1.214,1.51441567529741E10,6.84,3780.0,1.42967235821921E10,96.0,5.93266891458664,27.9217977932517,75.0007317073171,92.0354974354235,64.8533377796481,14.2,-0.0814296745823722,3778410.0,51210.0,54.0
2007,"Botswana","BWA",52.128,2.896,1.23238066006931E10,4.2450357432197,6100.0,1.14843943156807E10,90.0,12.970568873305,5.31510175273334,50.5875609756098,74.8083697246716,61.217269098299,39.7,1.24445716525646,1881431.5257196,581730.0,108.0
2007,"Brazil","BRA",75.6,1.9,1.33327054355079E12,5.66950647970702,6060.0,1.15126464901383E12,99.0,3.73212871576567,35.5093676496257,72.2807317073171,21.5422894767538,63.6335510107709,21.7,1.03710622164022,1.90119995E8,8514880.0,152.0
2007,"Bulgaria","BGR",42.228,1.42,3.95492383679684E10,6.16726482496549,4460.0,3.41275060758878E10,96.0,7.851605964838,30.9152736298403,72.6839024390244,123.042020878491,129.213863508066,11.8,-0.511187415410182,7659764.0,111000.0,32.0
2007,"Burkina Faso","BFA",130.9,6.004,6.7669863208059E9,3.59720800997887,430.0,6.39860221454146E9,94.0,3.74080587522899,0.744378353537748,52.2024390243903,33.1462174395659,10.9017593413574,190.7,2.87590051690628,1.4777431326047E7,274000.0,18.0
2007,"Burundi","BDI",18.62,4.655,9.79785001894867E8,3.60029859499636,120.0,9.55888500691511E8,75.0,8.27746950624237,0.701711320810806,50.229512195122,37.9759666947755,3.4447646657985,179.5,3.03736602359384,7837981.0,27830.0,32.0
2007,"Cambodia","KHM",39.217,3.175,8.3569089796267E9,10.2046015509322,550.0,7.99329997527734E9,79.0,6.51822133544999,0.484561306582459,59.5292682926829,113.829168454398,17.8825135056855,90.9,1.74181947866129,1.44460564739888E7,181040.0,86.0
2007,"Cameroon","CMR",127.502,4.314,2.06915589105313E10,3.49999745272467,1050.0,1.948933074538E10,74.0,2.05780627745253,2.95476151815712,50.3946341463415,35.204742337188,24.4755263812284,148.2,1.95117603269832,1.85327985570063E7,475440.0,37.0
2007,"Canada","CAN",12.779,1.59,1.32988289608965E12,2.69999999999999,39650.0,1.3075376553025E12,94.0,-3.8327526132404,72.778723920427,80.5658536585366,60.9530439897735,61.4913876758855,5.7,0.996579676606894,3.2976E7,9984670.0,3.0
